trial,mass,velocity
A,-984.4142857,-372.9238095
B,-984.8571429,-373.0952381
B,-985.3,-373.2666667
A,-985.7428571,-373.4380952
B,-986.1857143,-373.6095238
A,-986.6285714,-373.7809524
A,-987.0714286,-373.952381
A,-987.5142857,-374.1238095
B,-987.9571429,-374.2952381
B,-988.4,-374.4666667
A,-988.8428571,-374.6380952
B,-989.2857143,-374.8095238
A,-989.7285714,-374.9809524
A,-990.1714286,-375.152381
B,-990.6142857,-375.3238095
B,-991.0571429,-375.4952381
A,-991.5,-375.6666667
B,-991.9428571,-375.8380952
A,-992.3857143,-376.0095238
A,-992.8285714,-376.1809524
B,-993.2714286,-376.352381
B,-993.7142857,-376.5238095
A,-994.1571429,-376.6952381
B,-994.6,-376.8666667
A,-995.0428571,-377.0380952
A,-995.4857143,-377.2095238
B,-995.9285714,-377.3809524
B,-996.3714286,-377.552381
A,-996.8142857,-377.7238095
B,-997.2571429,-377.8952381
A,-997.7,-378.0666667
A,-998.1428571,-378.2380952
A,-998.5857143,-378.4095238
B,-999.0285714,-378.5809524
B,-999.4714286,-378.752381
A,-999.9142857,-378.9238095
B,-1000.357143,-379.0952381
A,-1000.8,-379.2666667
A,-1001.242857,-379.4380952
B,-1001.685714,-379.6095238
B,-1002.128571,-379.7809524
A,-1002.571429,-379.952381
B,-1003.014286,-380.1238095
A,-1003.457143,-380.2952381
A,-1003.9,-380.4666667
B,-1004.342857,-380.6380952
B,-1004.785714,-380.8095238
A,-1005.228571,-380.9809524
B,-1005.671429,-381.152381
A,-1006.114286,-381.3238095
A,-1006.557143,-381.4952381
B,-1007,-381.6666667
B,-1007.442857,-381.8380952
A,-1007.885714,-382.0095238
B,-1008.328571,-382.1809524
A,-1008.771429,-382.352381
A,-1009.214286,-382.5238095
A,-1009.657143,-382.6952381
B,-1010.1,-382.8666667
B,-1010.542857,-383.0380952
A,-1010.985714,-383.2095238
B,-1011.428571,-383.3809524
A,-1011.871429,-383.552381
A,-1012.314286,-383.7238095
B,-1012.757143,-383.8952381
B,-1013.2,-384.0666667
A,-1013.642857,-384.2380952
B,-1014.085714,-384.4095238
A,-1014.528571,-384.5809524
A,-1014.971429,-384.752381
B,-1015.414286,-384.9238095
B,-1015.857143,-385.0952381
A,-1016.3,-385.2666667
B,-1016.742857,-385.4380952
A,-1017.185714,-385.6095238
A,-1017.628571,-385.7809524
B,-1018.071429,-385.952381
B,-1018.514286,-386.1238095
A,-1018.957143,-386.2952381
B,-1019.4,-386.4666667
A,-1019.842857,-386.6380952
A,-1020.285714,-386.8095238
A,-1020.728571,-386.9809524
B,-1021.171429,-387.152381
B,-1021.614286,-387.3238095
A,-1022.057143,-387.4952381
B,-1022.5,-387.6666667
A,-1022.942857,-387.8380952
A,-1023.385714,-388.0095238
B,-1023.828571,-388.1809524
B,-1024.271429,-388.352381
A,-1024.714286,-388.5238095
B,-1025.157143,-388.6952381
A,-1025.6,-388.8666667
A,-1026.042857,-389.0380952
B,-1026.485714,-389.2095238
B,-1026.928571,-389.3809524
A,-1027.371429,-389.552381
B,-1027.814286,-389.7238095
A,-1028.257143,-389.8952381
A,-1028.7,-390.0666667
B,-1029.142857,-390.2380952
B,-1029.585714,-390.4095238
A,-1030.028571,-390.5809524
B,-1030.471429,-390.752381
A,-1030.914286,-390.9238095
A,-1031.357143,-391.0952381
A,-1031.8,-391.2666667
B,-1032.242857,-391.4380952
B,-1032.685714,-391.6095238
A,-1033.128571,-391.7809524
B,-1033.571429,-391.952381
A,-1034.014286,-392.1238095
A,-1034.457143,-392.2952381
B,-1034.9,-392.4666667
B,-1035.342857,-392.6380952
A,-1035.785714,-392.8095238
B,-1036.228571,-392.9809524
A,-1036.671429,-393.152381
A,-1037.114286,-393.3238095
B,-1037.557143,-393.4952381
B,-1038,-393.6666667
A,-1038.442857,-393.8380952
B,-1038.885714,-394.0095238
A,-1039.328571,-394.1809524
A,-1039.771429,-394.352381
B,-1040.214286,-394.5238095
B,-1040.657143,-394.6952381
A,-1041.1,-394.8666667
B,-1041.542857,-395.0380952
A,-1041.985714,-395.2095238
A,-1042.428571,-395.3809524
A,-1042.871429,-395.552381
B,-1043.314286,-395.7238095
B,-1043.757143,-395.8952381
A,-1044.2,-396.0666667
B,-1044.642857,-396.2380952
A,-1045.085714,-396.4095238
A,-1045.528571,-396.5809524
B,-1045.971429,-396.752381
B,-1046.414286,-396.9238095
A,-1046.857143,-397.0952381
B,-1047.3,-397.2666667
A,-1047.742857,-397.4380952
A,-1048.185714,-397.6095238
B,-1048.628571,-397.7809524
B,-1049.071429,-397.952381
A,-1049.514286,-398.1238095
B,-1049.957143,-398.2952381
A,-1050.4,-398.4666667
A,-1050.842857,-398.6380952
B,-1051.285714,-398.8095238
B,-1051.728571,-398.9809524
A,-1052.171429,-399.152381
B,-1052.614286,-399.3238095
A,-1053.057143,-399.4952381
A,-1053.5,-399.6666667
A,-1053.942857,-399.8380952
B,-1054.385714,-400.0095238
B,-1054.828571,-400.1809524
A,-1055.271429,-400.352381
B,-1055.714286,-400.5238095
A,-1056.157143,-400.6952381
A,-1056.6,-400.8666667
B,-1057.042857,-401.0380952
B,-1057.485714,-401.2095238
A,-1057.928571,-401.3809524
B,-1058.371429,-401.552381
A,-1058.814286,-401.7238095
A,-1059.257143,-401.8952381
B,-1059.7,-402.0666667
B,-1060.142857,-402.2380952
A,-1060.585714,-402.4095238
B,-1061.028571,-402.5809524
A,-1061.471429,-402.752381
A,-1061.914286,-402.9238095
B,-1062.357143,-403.0952381
B,-1062.8,-403.2666667
A,-1063.242857,-403.4380952
B,-1063.685714,-403.6095238
A,-1064.128571,-403.7809524
A,-1064.571429,-403.952381
A,-1065.014286,-404.1238095
B,-1065.457143,-404.2952381
B,-1065.9,-404.4666667
A,-1066.342857,-404.6380952
B,-1066.785714,-404.8095238
A,-1067.228571,-404.9809524
A,-1067.671429,-405.152381
B,-1068.114286,-405.3238095
B,-1068.557143,-405.4952381
A,-1069,-405.6666667
B,-1069.442857,-405.8380952
A,-1069.885714,-406.0095238
A,-1070.328571,-406.1809524
B,-1070.771429,-406.352381
B,-1071.214286,-406.5238095
A,-1071.657143,-406.6952381
B,-1072.1,-406.8666667
A,-1072.542857,-407.0380952
A,-1072.985714,-407.2095238
B,-1073.428571,-407.3809524
B,-1073.871429,-407.552381
A,-1074.314286,-407.7238095
B,-1074.757143,-407.8952381
A,-1075.2,-408.0666667
A,-1075.642857,-408.2380952
A,-1076.085714,-408.4095238
B,-1076.528571,-408.5809524
B,-1076.971429,-408.752381
A,-1077.414286,-408.9238095
B,-1077.857143,-409.0952381
A,-1078.3,-409.2666667
A,-1078.742857,-409.4380952
B,-1079.185714,-409.6095238
B,-1079.628571,-409.7809524
A,-1080.071429,-409.952381
B,-1080.514286,-410.1238095
A,-1080.957143,-410.2952381
A,-1081.4,-410.4666667
B,-1081.842857,-410.6380952
B,-1082.285714,-410.8095238
A,-1082.728571,-410.9809524
B,-1083.171429,-411.152381
A,-1083.614286,-411.3238095
A,-1084.057143,-411.4952381
B,-1084.5,-411.6666667
B,-1084.942857,-411.8380952
A,-1085.385714,-412.0095238
B,-1085.828571,-412.1809524
A,-1086.271429,-412.352381
A,-1086.714286,-412.5238095
A,-1087.157143,-412.6952381
B,-1087.6,-412.8666667
B,-1088.042857,-413.0380952
A,-1088.485714,-413.2095238
B,-1088.928571,-413.3809524
A,-1089.371429,-413.552381
A,-1089.814286,-413.7238095
B,-1090.257143,-413.8952381
B,-1090.7,-414.0666667
A,-1091.142857,-414.2380952
B,-1091.585714,-414.4095238
A,-1092.028571,-414.5809524
A,-1092.471429,-414.752381
B,-1092.914286,-414.9238095
B,-1093.357143,-415.0952381
A,-1093.8,-415.2666667
B,-1094.242857,-415.4380952
A,-1094.685714,-415.6095238
A,-1095.128571,-415.7809524
B,-1095.571429,-415.952381
B,-1096.014286,-416.1238095
A,-1096.457143,-416.2952381
B,-1096.9,-416.4666667
A,-1097.342857,-416.6380952
A,-1097.785714,-416.8095238
A,-1098.228571,-416.9809524
B,-1098.671429,-417.152381
B,-1099.114286,-417.3238095
A,-1099.557143,-417.4952381
B,-1100,-417.6666667
A,-1100.442857,-417.8380952
A,-1100.885714,-418.0095238
B,-1101.328571,-418.1809524
B,-1101.771429,-418.352381
A,-1102.214286,-418.5238095
B,-1102.657143,-418.6952381
A,-1103.1,-418.8666667
A,-1103.542857,-419.0380952
B,-1103.985714,-419.2095238
B,-1104.428571,-419.3809524
A,-1104.871429,-419.552381
B,-1105.314286,-419.7238095
A,-1105.757143,-419.8952381
A,-1106.2,-420.0666667
B,-1106.642857,-420.2380952
B,-1107.085714,-420.4095238
A,-1107.528571,-420.5809524
B,-1107.971429,-420.752381
A,-1108.414286,-420.9238095
A,-1108.857143,-421.0952381
A,-1109.3,-421.2666667
B,-1109.742857,-421.4380952
B,-1110.185714,-421.6095238
A,-1110.628571,-421.7809524
B,-1111.071429,-421.952381
A,-1111.514286,-422.1238095
A,-1111.957143,-422.2952381
B,-1112.4,-422.4666667
B,-1112.842857,-422.6380952
A,-1113.285714,-422.8095238
B,-1113.728571,-422.9809524
A,-1114.171429,-423.152381
A,-1114.614286,-423.3238095
B,-1115.057143,-423.4952381
B,-1115.5,-423.6666667
A,-1115.942857,-423.8380952
B,-1116.385714,-424.0095238
A,-1116.828571,-424.1809524
A,-1117.271429,-424.352381
B,-1117.714286,-424.5238095
B,-1118.157143,-424.6952381
A,-1118.6,-424.8666667
B,-1119.042857,-425.0380952
A,-1119.485714,-425.2095238
A,-1119.928571,-425.3809524
A,-1120.371429,-425.552381
B,-1120.814286,-425.7238095
B,-1121.257143,-425.8952381
A,-1121.7,-426.0666667
B,-1122.142857,-426.2380952
A,-1122.585714,-426.4095238
A,-1123.028571,-426.5809524
B,-1123.471429,-426.752381
B,-1123.914286,-426.9238095
A,-1124.357143,-427.0952381
B,-1124.8,-427.2666667
A,-1125.242857,-427.4380952
A,-1125.685714,-427.6095238
B,-1126.128571,-427.7809524
B,-1126.571429,-427.952381
A,-1127.014286,-428.1238095
B,-1127.457143,-428.2952381
A,-1127.9,-428.4666667
A,-1128.342857,-428.6380952
B,-1128.785714,-428.8095238
B,-1129.228571,-428.9809524
A,-1129.671429,-429.152381
B,-1130.114286,-429.3238095
A,-1130.557143,-429.4952381
A,-1131,-429.6666667
A,-1131.442857,-429.8380952
B,-1131.885714,-430.0095238
B,-1132.328571,-430.1809524
A,-1132.771429,-430.352381
B,-1133.214286,-430.5238095
A,-1133.657143,-430.6952381
A,-1134.1,-430.8666667
B,-1134.542857,-431.0380952
B,-1134.985714,-431.2095238
A,-1135.428571,-431.3809524
B,-1135.871429,-431.552381
A,-1136.314286,-431.7238095
A,-1136.757143,-431.8952381
B,-1137.2,-432.0666667
B,-1137.642857,-432.2380952
A,-1138.085714,-432.4095238
B,-1138.528571,-432.5809524
A,-1138.971429,-432.752381
A,-1139.414286,-432.9238095
B,-1139.857143,-433.0952381
B,-1140.3,-433.2666667
A,-1140.742857,-433.4380952
B,-1141.185714,-433.6095238
A,-1141.628571,-433.7809524
A,-1142.071429,-433.952381
A,-1142.514286,-434.1238095
B,-1142.957143,-434.2952381
B,-1143.4,-434.4666667
A,-1143.842857,-434.6380952
B,-1144.285714,-434.8095238
A,-1144.728571,-434.9809524
A,-1145.171429,-435.152381
B,-1145.614286,-435.3238095
B,-1146.057143,-435.4952381
A,-1146.5,-435.6666667
B,-1146.942857,-435.8380952
A,-1147.385714,-436.0095238
A,-1147.828571,-436.1809524
B,-1148.271429,-436.352381
B,-1148.714286,-436.5238095
A,-1149.157143,-436.6952381
B,-1149.6,-436.8666667
A,-1150.042857,-437.0380952
A,-1150.485714,-437.2095238
B,-1150.928571,-437.3809524
B,-1151.371429,-437.552381
A,-1151.814286,-437.7238095
B,-1152.257143,-437.8952381
A,-1152.7,-438.0666667
A,-1153.142857,-438.2380952
A,-1153.585714,-438.4095238
B,-1154.028571,-438.5809524
B,-1154.471429,-438.752381
A,-1154.914286,-438.9238095
B,-1155.357143,-439.0952381
A,-1155.8,-439.2666667
A,-1156.242857,-439.4380952
B,-1156.685714,-439.6095238
B,-1157.128571,-439.7809524
A,-1157.571429,-439.952381
B,-1158.014286,-440.1238095
A,-1158.457143,-440.2952381
A,-1158.9,-440.4666667
B,-1159.342857,-440.6380952
B,-1159.785714,-440.8095238
A,-1160.228571,-440.9809524
B,-1160.671429,-441.152381
A,-1161.114286,-441.3238095
A,-1161.557143,-441.4952381
B,-1162,-441.6666667
B,-1162.442857,-441.8380952
A,-1162.885714,-442.0095238
B,-1163.328571,-442.1809524
A,-1163.771429,-442.352381
A,-1164.214286,-442.5238095
A,-1164.657143,-442.6952381
B,-1165.1,-442.8666667
B,-1165.542857,-443.0380952
A,-1165.985714,-443.2095238
B,-1166.428571,-443.3809524
A,-1166.871429,-443.552381
A,-1167.314286,-443.7238095
B,-1167.757143,-443.8952381
B,-1168.2,-444.0666667
A,-1168.642857,-444.2380952
B,-1169.085714,-444.4095238
A,-1169.528571,-444.5809524
A,-1169.971429,-444.752381
B,-1170.414286,-444.9238095
B,-1170.857143,-445.0952381
A,-1171.3,-445.2666667
B,-1171.742857,-445.4380952
A,-1172.185714,-445.6095238
A,-1172.628571,-445.7809524
B,-1173.071429,-445.952381
B,-1173.514286,-446.1238095
A,-1173.957143,-446.2952381
B,-1174.4,-446.4666667
A,-1174.842857,-446.6380952
A,-1175.285714,-446.8095238
A,-1175.728571,-446.9809524
B,-1176.171429,-447.152381
B,-1176.614286,-447.3238095
A,-1177.057143,-447.4952381
B,-1177.5,-447.6666667
A,-1177.942857,-447.8380952
A,-1178.385714,-448.0095238
B,-1178.828571,-448.1809524
B,-1179.271429,-448.352381
A,-1179.714286,-448.5238095
B,-1180.157143,-448.6952381
A,-1180.6,-448.8666667
A,-1181.042857,-449.0380952
B,-1181.485714,-449.2095238
B,-1181.928571,-449.3809524
A,-1182.371429,-449.552381
B,-1182.814286,-449.7238095
A,-1183.257143,-449.8952381
A,-1183.7,-450.0666667
B,-1184.142857,-450.2380952
B,-1184.585714,-450.4095238
A,-1185.028571,-450.5809524
B,-1185.471429,-450.752381
A,-1185.914286,-450.9238095
A,-1186.357143,-451.0952381
A,-1186.8,-451.2666667
B,-1187.242857,-451.4380952
B,-1187.685714,-451.6095238
A,-1188.128571,-451.7809524
B,-1188.571429,-451.952381
A,-1189.014286,-452.1238095
A,-1189.457143,-452.2952381
B,-1189.9,-452.4666667
B,-1190.342857,-452.6380952
A,-1190.785714,-452.8095238
B,-1191.228571,-452.9809524
A,-1191.671429,-453.152381
A,-1192.114286,-453.3238095
B,-1192.557143,-453.4952381
B,-1193,-453.6666667
A,-1193.442857,-453.8380952
B,-1193.885714,-454.0095238
A,-1194.328571,-454.1809524
A,-1194.771429,-454.352381
B,-1195.214286,-454.5238095
B,-1195.657143,-454.6952381
A,-1196.1,-454.8666667
B,-1196.542857,-455.0380952
A,-1196.985714,-455.2095238
A,-1197.428571,-455.3809524
A,-1197.871429,-455.552381
B,-1198.314286,-455.7238095
B,-1198.757143,-455.8952381
A,-1199.2,-456.0666667
B,-1199.642857,-456.2380952
A,-1200.085714,-456.4095238
A,-1200.528571,-456.5809524
B,-1200.971429,-456.752381
B,-1201.414286,-456.9238095
A,-1201.857143,-457.0952381
B,-1202.3,-457.2666667
A,-1202.742857,-457.4380952
A,-1203.185714,-457.6095238
B,-1203.628571,-457.7809524
B,-1204.071429,-457.952381
A,-1204.514286,-458.1238095
B,-1204.957143,-458.2952381
A,-1205.4,-458.4666667
A,-1205.842857,-458.6380952
B,-1206.285714,-458.8095238
B,-1206.728571,-458.9809524
A,-1207.171429,-459.152381
B,-1207.614286,-459.3238095
A,-1208.057143,-459.4952381
A,-1208.5,-459.6666667
A,-1208.942857,-459.8380952
B,-1209.385714,-460.0095238
B,-1209.828571,-460.1809524
A,-1210.271429,-460.352381
B,-1210.714286,-460.5238095
A,-1211.157143,-460.6952381
A,-1211.6,-460.8666667
B,-1212.042857,-461.0380952
B,-1212.485714,-461.2095238
A,-1212.928571,-461.3809524
B,-1213.371429,-461.552381
A,-1213.814286,-461.7238095
A,-1214.257143,-461.8952381
B,-1214.7,-462.0666667
B,-1215.142857,-462.2380952
A,-1215.585714,-462.4095238
B,-1216.028571,-462.5809524
A,-1216.471429,-462.752381
A,-1216.914286,-462.9238095
B,-1217.357143,-463.0952381
B,-1217.8,-463.2666667
A,-1218.242857,-463.4380952
B,-1218.685714,-463.6095238
A,-1219.128571,-463.7809524
A,-1219.571429,-463.952381
A,-1220.014286,-464.1238095
B,-1220.457143,-464.2952381
B,-1220.9,-464.4666667
A,-1221.342857,-464.6380952
B,-1221.785714,-464.8095238
A,-1222.228571,-464.9809524
A,-1222.671429,-465.152381
B,-1223.114286,-465.3238095
B,-1223.557143,-465.4952381
A,-1224,-465.6666667
B,-1224.442857,-465.8380952
A,-1224.885714,-466.0095238
A,-1225.328571,-466.1809524
B,-1225.771429,-466.352381
B,-1226.214286,-466.5238095
A,-1226.657143,-466.6952381
B,-1227.1,-466.8666667
A,-1227.542857,-467.0380952
A,-1227.985714,-467.2095238
B,-1228.428571,-467.3809524
B,-1228.871429,-467.552381
A,-1229.314286,-467.7238095
B,-1229.757143,-467.8952381
A,-1230.2,-468.0666667
A,-1230.642857,-468.2380952
A,-1231.085714,-468.4095238
B,-1231.528571,-468.5809524
B,-1231.971429,-468.752381
A,-1232.414286,-468.9238095
B,-1232.857143,-469.0952381
A,-1233.3,-469.2666667
A,-1233.742857,-469.4380952
B,-1234.185714,-469.6095238
B,-1234.628571,-469.7809524
A,-1235.071429,-469.952381
B,-1235.514286,-470.1238095
A,-1235.957143,-470.2952381
A,-1236.4,-470.4666667
B,-1236.842857,-470.6380952
B,-1237.285714,-470.8095238
A,-1237.728571,-470.9809524
B,-1238.171429,-471.152381
A,-1238.614286,-471.3238095
A,-1239.057143,-471.4952381
A,-1239.5,-471.6666667
B,-1239.942857,-471.8380952
B,-1240.385714,-472.0095238
A,-1240.828571,-472.1809524
B,-1241.271429,-472.352381
A,-1241.714286,-472.5238095
A,-1242.157143,-472.6952381
B,-1242.6,-472.8666667
B,-1243.042857,-473.0380952
A,-1243.485714,-473.2095238
B,-1243.928571,-473.3809524
A,-1244.371429,-473.552381
A,-1244.814286,-473.7238095
B,-1245.257143,-473.8952381
B,-1245.7,-474.0666667
A,-1246.142857,-474.2380952
B,-1246.585714,-474.4095238
A,-1247.028571,-474.5809524
A,-1247.471429,-474.752381
B,-1247.914286,-474.9238095
B,-1248.357143,-475.0952381
A,-1248.8,-475.2666667
B,-1249.242857,-475.4380952
A,-1249.685714,-475.6095238
A,-1250.128571,-475.7809524
A,-1250.571429,-475.952381
B,-1251.014286,-476.1238095
B,-1251.457143,-476.2952381
A,-1251.9,-476.4666667
B,-1252.342857,-476.6380952
A,-1252.785714,-476.8095238
A,-1253.228571,-476.9809524
B,-1253.671429,-477.152381
B,-1254.114286,-477.3238095
A,-1254.557143,-477.4952381
B,-1255,-477.6666667
A,-1255.442857,-477.8380952
A,-1255.885714,-478.0095238
B,-1256.328571,-478.1809524
B,-1256.771429,-478.352381
A,-1257.214286,-478.5238095
B,-1257.657143,-478.6952381
A,-1258.1,-478.8666667
A,-1258.542857,-479.0380952
B,-1258.985714,-479.2095238
B,-1259.428571,-479.3809524
A,-1259.871429,-479.552381
B,-1260.314286,-479.7238095
A,-1260.757143,-479.8952381
A,-1261.2,-480.0666667
A,-1261.642857,-480.2380952
B,-1262.085714,-480.4095238
B,-1262.528571,-480.5809524
A,-1262.971429,-480.752381
B,-1263.414286,-480.9238095
A,-1263.857143,-481.0952381
A,-1264.3,-481.2666667
B,-1264.742857,-481.4380952
B,-1265.185714,-481.6095238
A,-1265.628571,-481.7809524
B,-1266.071429,-481.952381
A,-1266.514286,-482.1238095
A,-1266.957143,-482.2952381
B,-1267.4,-482.4666667
B,-1267.842857,-482.6380952
A,-1268.285714,-482.8095238
B,-1268.728571,-482.9809524
A,-1269.171429,-483.152381
A,-1269.614286,-483.3238095
B,-1270.057143,-483.4952381
B,-1270.5,-483.6666667
A,-1270.942857,-483.8380952
B,-1271.385714,-484.0095238
A,-1271.828571,-484.1809524
A,-1272.271429,-484.352381
A,-1272.714286,-484.5238095
B,-1273.157143,-484.6952381
B,-1273.6,-484.8666667
A,-1274.042857,-485.0380952
B,-1274.485714,-485.2095238
A,-1274.928571,-485.3809524
A,-1275.371429,-485.552381
B,-1275.814286,-485.7238095
B,-1276.257143,-485.8952381
A,-1276.7,-486.0666667
B,-1277.142857,-486.2380952
A,-1277.585714,-486.4095238
A,-1278.028571,-486.5809524
B,-1278.471429,-486.752381
B,-1278.914286,-486.9238095
A,-1279.357143,-487.0952381
B,-1279.8,-487.2666667
A,-1280.242857,-487.4380952
A,-1280.685714,-487.6095238
B,-1281.128571,-487.7809524
B,-1281.571429,-487.952381
A,-1282.014286,-488.1238095
B,-1282.457143,-488.2952381
A,-1282.9,-488.4666667
A,-1283.342857,-488.6380952
A,-1283.785714,-488.8095238
B,-1284.228571,-488.9809524
B,-1284.671429,-489.152381
A,-1285.114286,-489.3238095
B,-1285.557143,-489.4952381
A,-1286,-489.6666667
A,-1286.442857,-489.8380952
B,-1286.885714,-490.0095238
B,-1287.328571,-490.1809524
A,-1287.771429,-490.352381
B,-1288.214286,-490.5238095
A,-1288.657143,-490.6952381
A,-1289.1,-490.8666667
B,-1289.542857,-491.0380952
B,-1289.985714,-491.2095238
A,-1290.428571,-491.3809524
B,-1290.871429,-491.552381
A,-1291.314286,-491.7238095
A,-1291.757143,-491.8952381
B,-1292.2,-492.0666667
B,-1292.642857,-492.2380952
A,-1293.085714,-492.4095238
B,-1293.528571,-492.5809524
A,-1293.971429,-492.752381
A,-1294.414286,-492.9238095
A,-1294.857143,-493.0952381
B,-1295.3,-493.2666667
B,-1295.742857,-493.4380952
A,-1296.185714,-493.6095238
B,-1296.628571,-493.7809524
A,-1297.071429,-493.952381
A,-1297.514286,-494.1238095
B,-1297.957143,-494.2952381
B,-1298.4,-494.4666667
A,-1298.842857,-494.6380952
B,-1299.285714,-494.8095238
A,-1299.728571,-494.9809524
A,-1300.171429,-495.152381
B,-1300.614286,-495.3238095
B,-1301.057143,-495.4952381
A,-1301.5,-495.6666667
B,-1301.942857,-495.8380952
A,-1302.385714,-496.0095238
A,-1302.828571,-496.1809524
B,-1303.271429,-496.352381
B,-1303.714286,-496.5238095
A,-1304.157143,-496.6952381
B,-1304.6,-496.8666667
A,-1305.042857,-497.0380952
A,-1305.485714,-497.2095238
A,-1305.928571,-497.3809524
B,-1306.371429,-497.552381
B,-1306.814286,-497.7238095
A,-1307.257143,-497.8952381
B,-1307.7,-498.0666667
A,-1308.142857,-498.2380952
A,-1308.585714,-498.4095238
B,-1309.028571,-498.5809524
B,-1309.471429,-498.752381
A,-1309.914286,-498.9238095
B,-1310.357143,-499.0952381
A,-1310.8,-499.2666667
A,-1311.242857,-499.4380952
B,-1311.685714,-499.6095238
B,-1312.128571,-499.7809524
A,-1312.571429,-499.952381
B,-1313.014286,-500.1238095
A,-1313.457143,-500.2952381
A,-1313.9,-500.4666667
B,-1314.342857,-500.6380952
B,-1314.785714,-500.8095238
A,-1315.228571,-500.9809524
B,-1315.671429,-501.152381
A,-1316.114286,-501.3238095
A,-1316.557143,-501.4952381
A,-1317,-501.6666667
B,-1317.442857,-501.8380952
B,-1317.885714,-502.0095238
A,-1318.328571,-502.1809524
B,-1318.771429,-502.352381
A,-1319.214286,-502.5238095
A,-1319.657143,-502.6952381
B,-1320.1,-502.8666667
B,-1320.542857,-503.0380952
A,-1320.985714,-503.2095238
B,-1321.428571,-503.3809524
A,-1321.871429,-503.552381
A,-1322.314286,-503.7238095
B,-1322.757143,-503.8952381
B,-1323.2,-504.0666667
A,-1323.642857,-504.2380952
B,-1324.085714,-504.4095238
A,-1324.528571,-504.5809524
A,-1324.971429,-504.752381
B,-1325.414286,-504.9238095
B,-1325.857143,-505.0952381
A,-1326.3,-505.2666667
B,-1326.742857,-505.4380952
A,-1327.185714,-505.6095238
A,-1327.628571,-505.7809524
A,-1328.071429,-505.952381
B,-1328.514286,-506.1238095
B,-1328.957143,-506.2952381
A,-1329.4,-506.4666667
B,-1329.842857,-506.6380952
A,-1330.285714,-506.8095238
A,-1330.728571,-506.9809524
B,-1331.171429,-507.152381
B,-1331.614286,-507.3238095
A,-1332.057143,-507.4952381
B,-1332.5,-507.6666667
A,-1332.942857,-507.8380952
A,-1333.385714,-508.0095238
B,-1333.828571,-508.1809524
B,-1334.271429,-508.352381
A,-1334.714286,-508.5238095
B,-1335.157143,-508.6952381
A,-1335.6,-508.8666667
A,-1336.042857,-509.0380952
B,-1336.485714,-509.2095238
B,-1336.928571,-509.3809524
A,-1337.371429,-509.552381
B,-1337.814286,-509.7238095
A,-1338.257143,-509.8952381
A,-1338.7,-510.0666667
A,-1339.142857,-510.2380952
B,-1339.585714,-510.4095238
B,-1340.028571,-510.5809524
A,-1340.471429,-510.752381
B,-1340.914286,-510.9238095
A,-1341.357143,-511.0952381
A,-1341.8,-511.2666667
B,-1342.242857,-511.4380952
B,-1342.685714,-511.6095238
A,-1343.128571,-511.7809524
B,-1343.571429,-511.952381
A,-1344.014286,-512.1238095
A,-1344.457143,-512.2952381
B,-1344.9,-512.4666667
B,-1345.342857,-512.6380952
A,-1345.785714,-512.8095238
B,-1346.228571,-512.9809524
A,-1346.671429,-513.152381
A,-1347.114286,-513.3238095
B,-1347.557143,-513.4952381
B,-1348,-513.6666667
A,-1348.442857,-513.8380952
B,-1348.885714,-514.0095238
A,-1349.328571,-514.1809524
A,-1349.771429,-514.352381
A,-1350.214286,-514.5238095
B,-1350.657143,-514.6952381
B,-1351.1,-514.8666667
A,-1351.542857,-515.0380952
B,-1351.985714,-515.2095238
A,-1352.428571,-515.3809524
A,-1352.871429,-515.552381
B,-1353.314286,-515.7238095
B,-1353.757143,-515.8952381
A,-1354.2,-516.0666667
B,-1354.642857,-516.2380952
A,-1355.085714,-516.4095238
A,-1355.528571,-516.5809524
B,-1355.971429,-516.752381
B,-1356.414286,-516.9238095
A,-1356.857143,-517.0952381
B,-1357.3,-517.2666667
A,-1357.742857,-517.4380952
A,-1358.185714,-517.6095238
B,-1358.628571,-517.7809524
B,-1359.071429,-517.952381
A,-1359.514286,-518.1238095
B,-1359.957143,-518.2952381
A,-1360.4,-518.4666667
A,-1360.842857,-518.6380952
A,-1361.285714,-518.8095238
B,-1361.728571,-518.9809524
B,-1362.171429,-519.152381
A,-1362.614286,-519.3238095
B,-1363.057143,-519.4952381
A,-1363.5,-519.6666667
A,-1363.942857,-519.8380952
B,-1364.385714,-520.0095238
B,-1364.828571,-520.1809524
A,-1365.271429,-520.352381
B,-1365.714286,-520.5238095
A,-1366.157143,-520.6952381
A,-1366.6,-520.8666667
B,-1367.042857,-521.0380952
B,-1367.485714,-521.2095238
A,-1367.928571,-521.3809524
B,-1368.371429,-521.552381
A,-1368.814286,-521.7238095
A,-1369.257143,-521.8952381
B,-1369.7,-522.0666667
B,-1370.142857,-522.2380952
A,-1370.585714,-522.4095238
B,-1371.028571,-522.5809524
A,-1371.471429,-522.752381
A,-1371.914286,-522.9238095
A,-1372.357143,-523.0952381
B,-1372.8,-523.2666667
B,-1373.242857,-523.4380952
A,-1373.685714,-523.6095238
B,-1374.128571,-523.7809524
A,-1374.571429,-523.952381
A,-1375.014286,-524.1238095
B,-1375.457143,-524.2952381
B,-1375.9,-524.4666667
A,-1376.342857,-524.6380952
B,-1376.785714,-524.8095238
A,-1377.228571,-524.9809524
A,-1377.671429,-525.152381
B,-1378.114286,-525.3238095
B,-1378.557143,-525.4952381
A,-1379,-525.6666667
